HostName,PlanetLetter,DiscoveryMethod,PlanetInSS,Updated,PlanetName,DiscoveryYear,PlaceOfDiscovery,DiscoveryFacility,Telescope,Instrument,Status
TrES-1,b,Transit,1,10/15/2014,TrES-1 b,2004,Ground,TrES,0.10 m Schmidt Telescope,2K CCD Sensor,3
TrES-2,b,Transit,1,10/15/2015,TrES-2 b,2006,Ground,TrES,0.10 m Schmidt Telescope,2K CCD Sensor,3
TrES-3,b,Transit,1,5/14/2014,TrES-3 b,2007,Ground,TrES,0.10 m Schmidt Telescope,2K CCD Sensor,3
TrES-4,b,Transit,1,5/5/2016,TrES-4 b,2007,Ground,TrES,0.10 m Schmidt Telescope,2K CCD Sensor,3
TrES-5,b,Transit,1,4/16/2015,TrES-5 b,2011,Ground,TrES,0.10 m Schmidt Telescope,2K CCD Sensor,3
HATS-1,b,Transit,1,5/14/2014,HATS-1 b,2012,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-10,b,Transit,1,5/21/2015,HATS-10 b,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-11,b,Transit,1,9/29/2016,HATS-11 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-12,b,Transit,1,9/29/2016,HATS-12 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-13,b,Transit,1,8/13/2015,HATS-13 b,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-14,b,Transit,1,8/13/2015,HATS-14 b,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-15,b,Transit,1,6/23/2016,HATS-15 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-16,b,Transit,1,6/23/2016,HATS-16 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-17,b,Transit,1,9/15/2016,HATS-17 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-2,b,Transit,1,5/14/2014,HATS-2 b,2013,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-25,b,Transit,1,6/9/2016,HATS-25 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-26,b,Transit,1,6/9/2016,HATS-26 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-27,b,Transit,1,6/9/2016,HATS-27 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-28,b,Transit,1,6/9/2016,HATS-28 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-29,b,Transit,1,6/9/2016,HATS-29 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-3,b,Transit,1,5/14/2014,HATS-3 b,2013,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-30,b,Transit,1,6/9/2016,HATS-30 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-31,b,Transit,1,12/1/2016,HATS-31 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-32,b,Transit,1,12/1/2016,HATS-32 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-33,b,Transit,1,12/1/2016,HATS-33 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-34,b,Transit,1,12/1/2016,HATS-34 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-35,b,Transit,1,12/1/2016,HATS-35 b,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-4,b,Transit,1,7/2/2014,HATS-4 b,2014,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-5,b,Transit,1,5/14/2014,HATS-5 b,2014,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-6,b,Transit,1,5/14/2015,HATS-6 b,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-8,b,Transit,1,6/17/2015,HATS-8 b,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
HATS-9,b,Transit,1,5/21/2015,HATS-9 b,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,3
CoRoT-7,c,Radial Velocity,2,9/10/2015,CoRoT-7 c,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-1,b,Transit,1,5/14/2014,CoRoT-1 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-10,b,Transit,1,5/14/2014,CoRoT-10 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-11,b,Transit,1,5/14/2014,CoRoT-11 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-12,b,Transit,1,5/14/2014,CoRoT-12 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-13,b,Transit,1,5/14/2014,CoRoT-13 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-14,b,Transit,1,5/14/2014,CoRoT-14 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-16,b,Transit,1,5/14/2014,CoRoT-16 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-17,b,Transit,1,5/14/2014,CoRoT-17 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-18,b,Transit,1,5/14/2014,CoRoT-18 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-19,b,Transit,1,5/14/2014,CoRoT-19 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-2,b,Transit,1,5/14/2014,CoRoT-2 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-20,b,Transit,1,5/14/2014,CoRoT-20 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-22,b,Transit,1,8/21/2014,CoRoT-22 b,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-23,b,Transit,1,5/14/2014,CoRoT-23 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-24,b,Transit,2,6/11/2014,CoRoT-24 b,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-25,b,Transit,1,5/14/2014,CoRoT-25 b,2013,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-26,b,Transit,1,5/14/2014,CoRoT-26 b,2013,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-27,b,Transit,1,5/14/2014,CoRoT-27 b,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-28,b,Transit,1,4/16/2015,CoRoT-28 b,2015,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-29,b,Transit,1,4/16/2015,CoRoT-29 b,2015,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-3,b,Transit,1,5/14/2014,CoRoT-3 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-4,b,Transit,1,5/14/2014,CoRoT-4 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-5,b,Transit,1,5/14/2014,CoRoT-5 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-6,b,Transit,1,5/14/2014,CoRoT-6 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-7,b,Transit,2,3/5/2015,CoRoT-7 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-8,b,Transit,1,5/14/2014,CoRoT-8 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-9,b,Transit,1,5/14/2014,CoRoT-9 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-24,c,Transit,2,6/11/2014,CoRoT-24 c,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
GJ 1214,b,Transit,1,12/3/2015,GJ 1214 b,2009,Ground,MEarth Project,0.4 m MEarth Telescope,Apogee CCD Sensor,3
LHS 1140,b,Transit,1,4/27/2017,LHS 1140 b,2017,Ground,MEarth Project,0.4 m MEarth Telescope,Apogee CCD Sensor,3
91 Aqr,b,Radial Velocity,1,5/14/2014,91 Aqr b,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
HD 50554,b,Radial Velocity,1,11/19/2014,HD 50554 b,2002,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
HIP 75458,b,Radial Velocity,1,7/23/2014,HIP 75458 b,2002,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
tau Gem,b,Radial Velocity,1,5/14/2014,tau Gem b,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
TRAPPIST-1,b,Transit,7,2/22/2017,TRAPPIST-1 b,2016,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,3
TRAPPIST-1,c,Transit,7,2/22/2017,TRAPPIST-1 c,2016,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,3
